index,descriptors,relative_frequency
"Chardonnay, Marlborough, New Zealand",cashew,0.02
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",black_currant,0.02
"Grenache, Castilla-La Mancha, Central Spain, Spain",prune_raisin,0.03
"White Blend, Galicia, Northwest Spain, Spain",tree_fruit,0.01
"Zinfandel, Paso Robles, Central Coast, California, USA",chocolate,0.01
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",red_currant,0.02
"Syrah, Western Australia, Australia",tar,0.02
"Cabernet Sauvignon, Mendocino, North Coast, California, USA",spearmint,0.01
"Syrah, Southern Oregon, Oregon, USA",american_oak,0.02
"Sauvignon Blanc, Burgenland, Austria",perfumed,0.03
"Merlot, Santa Barbara, Central Coast, California, USA",cigar_box,0.03
"Zinfandel, Columbia Valley, Washington, USA",tobacco,0.01
"Chardonnay, Cote de Beaune, Burgundy, France",new_wood,0.01
"White Blend, Pais Vasco, Northwest Spain, Spain",juicy,0.03
"Turbiana, Italian White, Lombardy, Northwest Italy, Italy",herb,0.02
"Bordeaux-style Red Blend, Libournais, Bordeaux, France",blackcurrant,0.01
"Chardonnay, Cape South Coast, South Africa",cedar,0.02
"Sauvignon Blanc, Columbia Valley, Washington, USA",pear,0.01
"Tempranillo, Navarra, Northeast Spain, Spain",green_bean,0.02
"Zinfandel, Sonoma Valley, North Coast, California, USA",chocolate,0.01
"Austrian white blend, White Blend, Niederosterreich, Austria",tree_fruit,0.02
"Syrah, Cachapoal Valley, Central Valley, Chile",savory,0.02
"Riesling, Canterbury and Waipara, New Zealand",pineapple,0.03
"Red Blends, Red Blends, Cachapoal Valley, Central Valley, Chile",graphite,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",savory,0.01
"Cabernet Sauvignon, Clear Lake, North Coast, California",grapey,0.01
"Red Blends, Red Blends, Tuscany, Central Italy, Italy",leather,0.02
"Sagrantino, Italian Red, Umbria, Central Italy, Italy",toast,0.01
"Tempranillo, Inland Valleys, California, USA",chocolate,0.03
"Red Blends, Red Blends, Southern Greece, Greece",raspberry,0.02
"Chardonnay, Curico Valley, Central Valley, Chile",lees,0.01
"Bordeaux-style White Blend, White Blend, Graves, Bordeaux, France",minerality,0.01
"Syrah, Inland Valleys, California, USA",root,0.03
"Malbec, Mendoza, Argentina",raisin,0.01
"Chardonnay, Sonoma Valley, North Coast, California, USA",juicy,0.01
"Syrah, Columbia Valley, Oregon, USA",ham,0.01
"White Blend, Veneto, Northeast Italy, Italy",lactic,0.02
"Chardonnay, Friuli-Venezia Giulia, Northeast Italy, Italy",nectarine,0.02
"Pinot Noir, South Australia, Australia",oak,0.03
"Red Blends, Red Blends, Maule Valley, Central Valley, Chile",cedar,0.01
"Cabernet Sauvignon, Inland Valleys, California, USA",black_cherry,0.01
"Red Blends, Red Blends, Sierra Foothills, California, USA",toast,0.01
"White Blend, Columbia Valley, Washington, USA",lime,0.02
"Chardonnay, Mendocino, North Coast, California, USA",honeycomb,0.01
"Bordeaux-style Red Blend, San Francisco Bay, Central Coast, California, USA",stone,0.02
"Red Blends, Red Blends, Coastal Region, South Africa",black_currant,0.02
"Viognier, Mendoza, Argentina",lactic,0.03
"Cabernet Franc, Finger Lakes, New York, USA",juicy,0.01
"Cabernet Franc, Anjou-Saumar, Loire Valley, France",wood,0.01
"Merlot, Southern Oregon, Oregon, USA",wood,0.01
"Red Blends, Red Blends, Mendoza, Argentina",mint,0.01
"Riesling, Marlborough, New Zealand",perfumed,0.01
"Riesling, Central Otago, New Zealand",pear,0.03
"Pinot Noir, Champagne, France",yeast,0.01
"Syrah, Northern Rhone, Rhone Valley, France",earth,0.01
"Chardonnay, Napa Valley, North Coast, California, USA",candy,0.01
"Red Blends, Red Blends, Thracian Valley, Bulgaria",blueberry,0.03
"Chardonnay, Galilee, Israel",nectarine,0.02
"Syrah, Galilee, Israel",bramble,0.02
"Grenache, Paso Robles, Central Coast, California, USA",passion_fruit,0.01
"Red Blends, Red Blends, South Australia, Australia",grilled_meat,0.01
"Bordeaux-style Red Blend, Maipo Valley, Central Valley, Chile",cigar_box,0.02
"Chardonnay, Willamette Valley, Oregon, USA",neutral_oak,0.01
"Red Blends, Red Blends, Galilee, Israel",vanilla,0.01
"Pinot Noir, Cote Chalonnaise, Burgundy, France",red_currant,0.01
"Pinot Noir, Maule Valley, Central Valley, Chile",fruit,0.03
"Pinot Noir, Columbia Valley, Oregon, USA",pomegranate,0.02
"Tempranillo, Castilla and Leon, Northwest Spain, Spain",mint,0.01
"Friulano, Italian White, Friuli-Venezia Giulia, Northeast Italy, Italy",apricot,0.01
"Grenache, Southern Rhone, Rhone Valley, France",mint,0.03
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",savory,0.01
"Petite Sirah, Inland Valleys, California, USA",toast,0.02
"Red Blends, Red Blends, San Francisco Bay, Central Coast, California, USA",wood,0.01
"Merlot, Tuscany, Central Italy, Italy",menthol,0.01
"Pinot Noir, Burgenland, Austria",nut,0.02
"Cabernet Franc, Long Island, New York, USA",toast,0.02
"Syrah, San Francisco Bay, Central Coast, California, USA",earth,0.01
"Malbec, Salta, Argentina",bramble,0.02
"White Blend, Castilla-La Mancha, Central Spain, Spain",apricot,0.03
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",wood,0.02
"Chardonnay, San Francisco Bay, Central Coast, California, USA",vanilla,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",pepper,0.02
"Riesling, Michigan, USA",marmalade,0.03
"Sauvignon Blanc, Finger Lakes, New York, USA",juicy,0.02
"White Blend, Macedonia, Greece",earth,0.02
"Malbec, Southwest France, France",medicinal,0.01
"Syrah, San Luis Obispo, Central Coast, California, USA",meat,0.02
"Pinot Noir, Mendocino, North Coast, California, USA",cinnamon,0.01
"Verdicchio, Italian White, Le Marche, Central Italy, Italy",white_flower,0.02
"Pinot Noir, San Benito, Central Coast, California, USA",ripe,0.02
"Red Blends, Red Blends, Sonoma Valley, North Coast, California, USA",spice,0.01
"Gruner Veltliner, Finger Lakes, New York, USA",pollen,0.03
"Cabernet Franc, Virginia, USA",toast,0.01
"Viognier, Sonoma Valley, North Coast, California, USA",matchstick,0.02
"Chardonnay, San Luis Obispo, Central Coast, California, USA",honeysuckle,0.02
"White Blend, Sierra Foothills, California, USA",pepper,0.03
"Merlot, Long Island, New York, USA",juicy,0.02
"Syrah, Casablanca Valley, Aconcagua Region, Chile",burnt,0.03
"White Blend, Long Island, New York, USA",oak,0.03
"Gruner Veltliner, Burgenland, Austria",flower,0.01
"Chardonnay, British Columbia, Canada",oil,0.03
"White Blend, Coastal Region, South Africa",honey,0.02
"Grenache, Sonoma Valley, North Coast, California, USA",steel,0.02
"Red Blends, Red Blends, Douro Valley, Portugal",perfumed,0.02
"Tempranillo, Columbia Valley, Washington, USA",berry,0.02
"Negroamaro, Italian Red, Puglia, Southern Italy, Italy",coconut,0.02
"Syrah, Columbia Valley, Washington, USA",earth,0.01
"Chardonnay, Mendoza, Argentina",popcorn,0.02
"Austrian white blend, White Blend, Burgenland, Austria",toffee,0.03
"Malbec, Sonoma Valley, North Coast, California, USA",ripe,0.03
"Pinot Noir, Nelson, New Zealand",red_fruit,0.03
"Syrah, Coastal Region, South Africa",minerality,0.01
"Frappato, Italian Red, Sicily, Southern Italy, Italy",matchstick,0.02
"Cabernet Franc, Touraine, Loire Valley, France",juicy,0.01
"Cabernet Sauvignon, Columbia Valley, Washington, USA",juicy,0.01
"Pinot Noir, Bio-Bio Valley, South Region, Chile",bramble,0.02
"Bordeaux-style Red Blend, South Australia, Australia",toast,0.02
"Petite Sirah, Napa Valley, North Coast, California, USA",boysenberry,0.01
"Sauvignon Blanc, Monterey, Central Coast, California, USA",new_oak,0.02
"Syrah, Monterey, Central Coast, California, USA",inky,0.02
"White Blend, Niederosterreich, Austria",minerality,0.03
"Cannonau, Grenache, Sardinia, Southern Italy, Italy",toast,0.02
"Merlot, Finger Lakes, New York, USA",cranberry,0.02
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",forest_floor,0.02
"Sauvignon Blanc, Clear Lake, North Coast, California",oak,0.02
"Red Blends, Red Blends, Provence, France",funky,0.02
"Cabernet Sauvignon-Syrah, Red Blends, Columbia Valley, Washington, USA",leafy,0.02
"Riesling, Nahe, Germany",dust,0.01
"Tinto Fino, Tempranillo, Castilla and Leon, Northwest Spain, Spain",prune,0.01
"Pinot Grigio, Alsace, France",tropical_fruit,0.01
"Cabernet Franc, Southern Oregon, Oregon, USA",carob,0.02
"Grenache, South Australia, Australia",blueberry,0.01
"Chardonnay, Breede River Valley",cataloupe,0.02
"Bordeaux-style Red Blend, Medoc, Bordeaux, France",toast,0.01
"Syrah, Napa Valley, North Coast, California, USA",olive,0.01
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",peach,0.02
"Vernaccia, Italian White, Tuscany, Central Italy, Italy",beeswax,0.01
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",peach,0.02
"Bordeaux-style Red Blend, Mendoza, Argentina",wood,0.02
"Sauvignon Blanc, Southern Oregon, Oregon, USA",cucumber,0.03
"Bordeaux-style Red Blend, Coastal Region, South Africa",earth,0.02
"Malbec, Colchagua Valley, Central Valley, Chile",grass,0.02
"Pinot Grigio, Friuli-Venezia Giulia, Northeast Italy, Italy",banana,0.01
"Petite Sirah, Columbia Valley, Washington, USA",matchstick,0.02
"Syrah, Sonoma Valley, North Coast, California, USA",raspberry,0.01
"Syrah, Tuscany, Central Italy, Italy",tobacco,0.02
"Sauvignon Blanc, Touraine, Loire Valley, France",lemon,0.01
"Nebbiolo, Piedmont, Northwest Italy, Italy",rose_violet,0.02
"Red Blends, Red Blends, La Rioja, Northeast Spain, Spain",inky,0.02
"Red Blends, Red Blends, Alentejo, Portugal",earth,0.02
"Red Blends, Red Blends, Umbria, Central Italy, Italy",dark_berry,0.02
"Red Blends, Red Blends, Clear Lake, North Coast, California",jam,0.02
"Pinot Noir, Monterey, Central Coast, California, USA",rose,0.01
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",chocolate,0.01
"Red Blends, Red Blends, Burgenland, Austria",cinnamon,0.01
"Malbec, Southern Oregon, Oregon, USA",smoke,0.02
"Sauvignon Blanc, Long Island, New York, USA",apple,0.02
"Merlot, Colchagua Valley, Central Valley, Chile",burnt,0.02
"Sauvignon Blanc, Centre, Loire Valley, France",soil,0.01
"Pinot Noir, Southern Oregon, Oregon, USA",pine,0.01
"Viognier, Sierra Foothills, California, USA",honeysuckle,0.02
"Montepulciano, Italian Red, Abruzzo, Central Italy, Italy",blackberry,0.02
"Red Blends, Red Blends, Campania, Southern Italy, Italy",oak,0.03
"Riesling, Mendocino, North Coast, California, USA",steel,0.03
"Pinot Grigio, Central Otago, New Zealand",flint,0.03
"Cabernet Sauvignon-Malbec, Bordeaux-style Red Blend, Mendoza, Argentina",strawberry,0.03
"Viognier, Paso Robles, Central Coast, California, USA",orange,0.02
"Riesling, Mosel, Germany",spice,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",toast,0.01
"Cabernet Sauvignon, South Coast, California, USA",gravel,0.02
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",bramble,0.02
"Pinot Grigio, Willamette Valley, Oregon, USA",melon,0.01
"Petite Sirah, Clear Lake, North Coast, California",jam,0.03
"Red Blends, Red Blends, Macedonia, Greece",cola,0.02
"Sauvignon Blanc, San Antonio Valley, Aconcagua, Chile",cracker,0.02
"Viognier, Northern Rhone, Rhone Valley, France",oily,0.01
"Cabernet Sauvignon, Mendoza, Argentina",mint,0.02
"Merlot, Maule Valley, Central Valley, Chile",juicy,0.01
"Pinot Noir, Centre, Loire Valley, France",herb,0.01
"Chardonnay, Hawkes Bay, New Zealand",gravel,0.01
"Pinot Grigio, Southern Oregon, Oregon, USA",salinity,0.01
"Malbec, Columbia Valley, Washington, USA",new_oak,0.01
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",melon,0.02
"Chardonnay, Inland Valleys, California, USA",cider,0.01
"Merlot, Columbia Valley, Washington, USA",baking_spices,0.01
"Shiraz-Viognier, South Australia, Australia",bacon,0.02
"Sauvignon Blanc, Friuli-Venezia Giulia, Northeast Italy, Italy",peach,0.01
"Red Blends, Red Blends, Le Marche, Central Italy, Italy",violet,0.02
"Sauvignon Blanc, South Australia, Australia",pineapple,0.02
"Cabernet Sauvignon, South Australia, Australia",coffee,0.01
"Riesling, Finger Lakes, New York, USA",fruit,0.02
"Grenache, Columbia Valley, Washington, USA",strawberry,0.02
"Malbec, San Juan, Argentina",leafy,0.01
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",honey,0.02
"Tempranillo, Southern Oregon, Oregon, USA",dust,0.02
"Red Blends, Red Blends, Castilla-La Mancha, Central Spain, Spain",cassis,0.02
"Chardonnay, Champagne, France",almond,0.01
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",black_currant,0.01
"Sauvignon Blanc-Semillon, White Blend, Western Australia, Australia",overripe,0.02
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",cranberry,0.02
"Grenache, Catalunya, Northeast Spain, Spain",strawberry,0.02
"Viognier, South Australia, Australia",toast,0.03
"Riesling, Columbia Valley, Washington, USA",minerality,0.02
"Cabernet Sauvignon, Long Island, New York, USA",grass,0.02
"Tempranillo Blend, Tempranillo, Navarra, Northeast Spain, Spain",red_berry,0.03
"Viognier, Southern Oregon, Oregon, USA",banana,0.01
"Pinot Grigio, Veneto, Northeast Italy, Italy",pine,0.01
"Ribolla Gialla, Italian White, Friuli-Venezia Giulia, Northeast Italy, Italy",herb,0.03
"Riesling, South Australia, Australia",wet_rocks,0.01
"Tokaji, White Blend, Tokaj, Hungary",herb,0.03
"Merlot, San Francisco Bay, Central Coast, California, USA",incense,0.02
"Zinfandel, Napa Valley, North Coast, California, USA",american_oak,0.02
"Pinot Grigio, Finger Lakes, New York, USA",pear,0.01
"Red Blends, Red Blends, Valencia, Northeast Spain, Spain",foxy,0.02
"Chardonnay, Lombardy, Northwest Italy, Italy",lemon_peel,0.02
"Syrah, Sierra Foothills, California, USA",dust,0.01
"Chardonnay, San Antonio, Aconcagua Region, Chile",stone_fruit,0.02
"Bordeaux-style White Blend, White Blend, Columbia Valley, Washington, USA",corn,0.03
"Grillo, Italian White, Sicily, Southern Italy, Italy",lemon,0.02
"SpÃ¤tburgunder, Pinot Noir, Baden, Germany",beet,0.03
"Cabernet Franc, Sierra Foothills, California, USA",overripe,0.02
"Chardonnay, Maule Valley, Central Valley, Chile",resin,0.02
"Chardonnay, Cote Chalonnaise, Burgundy, France",juicy,0.01
"Syrah, Paso Robles, Central Coast, California, USA",lilac,0.01
"Syrah, Mendocino, North Coast, California, USA",perfumed,0.02
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",black_cherry,0.01
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",cut_grass,0.03
"Aglianico, Italian Red, Basilicata, Southern Italy, Italy",smoke,0.01
"Provence red blend, Red Blends, Provence, France",smoke,0.01
"Chardonnay, Burgenland, Austria",tea,0.01
"Sangiovese, Columbia Valley, Washington, USA",rose,0.01
"Sauvignon Blanc, Wairarapa, New Zealand",honeysuckle,0.02
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",cinnamon,0.01
"Sauvignon Blanc, Marlborough, New Zealand",lime,0.01
"Cabernet Sauvignon, Catalunya, Northeast Spain, Spain",blackberry,0.02
"White Blend, Burgenland, Austria",lemon,0.02
"Zinfandel, Sierra Foothills, California, USA",blueberry,0.01
"Riesling, Rheingau, Germany",tangerine,0.01
"Greco, Italian White, Campania, Southern Italy, Italy",herb,0.01
"Cabernet Franc, Napa Valley, North Coast, California, USA",cinnamon,0.01
"Pinot Noir, Columbia Valley, Washington, USA",citrus,0.02
"Red Blends, Red Blends, Sardinia, Southern Italy, Italy",rose_violet,0.02
"Pinot Noir, Marlborough, New Zealand",dust,0.01
"Cabernet Sauvignon, Western Australia, Australia",blackcurrant,0.01
"Red Blends, Red Blends, Niederosterreich, Austria",plum,0.02
"Gruner Veltliner, Niederosterreich, Austria",smoke,0.01
"Pinot Noir, Central Otago, New Zealand",chocolate,0.01
"Pinot Noir, Finger Lakes, New York, USA",vanilla,0.01
"White Blend, Friuli-Venezia Giulia, Northeast Italy, Italy",chamomile,0.02
"Alsace white blend, White Blend, Alsace, France",flower,0.02
"Chardonnay, Trento, Northeast Italy, Italy",tropical_fruit,0.02
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",papaya,0.01
"Austrian Red Blend, Red Blends, Burgenland, Austria",blueberry,0.01
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",herb,0.01
"Chardonnay, Columbia Valley, Washington, USA",citrus,0.01
"Merlot, Inland Valleys, California, USA",baking_spices,0.02
"Bordeaux-style White Blend, White Blend, Sauternais, Bordeaux, France",tropical_fruit,0.00
"Tempranillo, Castilla-La Mancha, Central Spain, Spain",leafy,0.02
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",yeast,0.02
"Viognier, Virginia, USA",apricot,0.02
"Shiraz-Cabernet Sauvignon, Red Blends, South Australia, Australia",dust,0.03
"Pinot Noir, Alsace, France",game,0.01
"Red Blends, Red Blends, Maipo Valley, Central Valley, Chile",pepper,0.02
"Tempranillo Blend, Tempranillo, Castilla and Leon, Northwest Spain, Spain",jam,0.01
"Vermentino, Italian White, Sardinia, Southern Italy, Italy",pineapple,0.02
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",plum,0.02
"Pinot Noir, Cote de Beaune, Burgundy, France",red_currant,0.01
"Bordeaux-style Red Blend, Southwest France, France",mushroom,0.01
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",jam,0.01
"Cabernet Sauvignon, Finger Lakes, New York, USA",bramble,0.01
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",smoke,0.02
"Falanghina, Italian White, Campania, Southern Italy, Italy",savory,0.02
"Red Blends, Red Blends, Southwest France, France",mint,0.01
"Arneis, Italian White, Piedmont, Northwest Italy, Italy",smoke,0.02
"Syrah, Santa Barbara, Central Coast, California, USA",flower,0.01
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",lime,0.01
"Red Blends, Red Blends, Paso Robles, Central Coast, California, USA",elderberry,0.01
"Gruner Veltliner, Vienna, Austria",steel,0.03
"Pinot Grigio, Marlborough, New Zealand",cataloupe,0.01
"Pinot Grigio, Mendoza, Argentina",orange,0.02
"Gamay, Beaujolais, France",strawberry,0.01
"Chardonnay, Santa Barbara, Central Coast, California, USA",white_flower,0.01
"Chardonnay, Colchagua Valley, Central Valley, Chile",peach_pit,0.01
"Zinfandel, Mendocino, North Coast, California, USA",smoke,0.01
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",vanilla,0.02
"Chardonnay, Southern Oregon, Oregon, USA",stone,0.02
"Pinot Noir, Cape South Coast, South Africa",vanilla,0.02
"Syrah, Hawkes Bay, New Zealand",cherry,0.03
"Syrah, New South Wales, Australia",eucalyptus,0.02
"Syrah, South Australia, Australia",cedar,0.02
"Pinot Noir, Sonoma Valley, North Coast, California, USA",herb,0.01
"Syrah, Colchagua Valley, Central Valley, Chile",cassis,0.02
"Merlot, Mendoza, Argentina",reedy,0.02
"White Blend, Castilla and Leon, Northwest Spain, Spain",ripe,0.02
"Red Blends, Red Blends, South Coast, California, USA",raspberry,0.01
"Merlot, Mendocino, North Coast, California, USA",flower,0.03
"Glera, Italian White, Veneto, Northeast Italy, Italy",lemon,0.01
"Red Blends, Red Blends, Colchagua Valley, Central Valley, Chile",graphite,0.01
"Grenache, Aragon, Northeast Spain, Spain",prune_raisin,0.01
"Nerello Mascalese, Italian Red, Sicily, Southern Italy, Italy",herb,0.01
"Sauvignon Blanc, Coastal Region, South Africa",honey,0.01
"Riesling, Long Island, New York, USA",flower,0.02
"Chardonnay, Napa-Sonoma, North Coast, California, USA",citrus,0.01
"Riesling, Rheinhessen, Germany",pear,0.01
"Riesling, Western Australia, Australia",grapefruit,0.02
"Sauvignon Blanc, Sierra Foothills, California, USA",chalk,0.02
"White Blend, La Rioja, Northeast Spain, Spain",corn,0.01
"Merlot, Sonoma Valley, North Coast, California, USA",ripe,0.01
"Red Blends, Red Blends, Judea, Israel",almond,0.03
"Pinot Noir, Mendoza, Argentina",red_berry,0.01
"Chardonnay, Long Island, New York, USA",grapefruit,0.01
"White Blend, Sicily, Southern Italy, Italy",meditteranean_herbs,0.02
"Red Blends, Red Blends, Castilla and Leon, Northwest Spain, Spain",jam,0.01
"Grenache, Navarra, Northeast Spain, Spain",cheese,0.01
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",tropical_fruit,0.03
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",ripe,0.03
"Pinot Grigio, Alto Adige, Northeast Italy, Italy",lemon,0.01
"Tempranillo, Sierra Foothills, California, USA",toffee,0.03
"White Blend, Tuscany, Central Italy, Italy",toasted_hazelnut,0.02
"Chardonnay, Finger Lakes, New York, USA",lemon_peel,0.01
"Grenache, Santa Barbara, Central Coast, California, USA",pepper,0.01
"Riesling, Pfalz, Germany",earth,0.01
"Bordeaux-style Red Blend, Colchagua Valley, Central Valley, Chile",berry,0.03
"Red Blends, Red Blends, Columbia Valley, Oregon, USA",plum,0.03
"Pinot Noir, Patagonia, Argentina",tomato,0.03
"Sauvignon Blanc, Cape South Coast, South Africa",asparagus,0.02
"Red Blends, Red Blends, Murcia, Northeast Spain, Spain",medicinal,0.02
"Syrah, Limari Valley, Coquimbo Region, Chile",violet,0.03
"Viognier, Santa Barbara, Central Coast, California, USA",earth,0.01
"Sauvignon Blanc, Hawkes Bay, New Zealand",smoke,0.02
"Durella, Italian White, Veneto, Northeast Italy, Italy",rocks,0.03
"Red Blends, Red Blends, Santa Barbara, Central Coast, California, USA",hickory,0.01
"Cabernet Franc, Mendoza, Argentina",game,0.01
"Chardonnay, Limari Valley, Coquimbo Region, Chile",stalky,0.02
"Sauvignon Blanc, Steiermark, Austria",pear,0.01
"Sauvignon Blanc, Castilla and Leon, Northwest Spain, Spain",wild_flower,0.02
"Red Blends, Red Blends, Veneto, Northeast Italy, Italy",baking_spices,0.02
"Red Blends, Red Blends, Navarra, Northeast Spain, Spain",cooked,0.01
"Petite Sirah, Paso Robles, Central Coast, California, USA",fruit,0.02
"Red Blends, Red Blends, Mendocino, North Coast, California, USA",toast,0.01
"Merlot, Rapel Valley, Central Valley, Chile",sulfur,0.02
"Chardonnay, Clear Lake, North Coast, California",lime,0.03
"Petite Sirah, Sonoma Valley, North Coast, California, USA",raisin,0.02
"White Blend, Catalunya, Northeast Spain, Spain",apricot,0.02
"Bordeaux-style White Blend, White Blend, Southwest France, France",toffee,0.01
"White Blend, Mendoza, Argentina",mint,0.02
"Sauvignon Blanc, Mendocino, North Coast, California, USA",cucumber,0.01
"Bordeaux-style Red Blend, Virginia, USA",eucalyptus,0.01
"Chardonnay, Monterey, Central Coast, California, USA",buttercream,0.02
"Grenache, Southern Oregon, Oregon, USA",chalk,0.02
"Chardonnay, Western Australia, Australia",apple,0.02
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",forest_floor,0.02
"Pinot Grigio, Trento, Northeast Italy, Italy",spice,0.02
"Riesling, Idaho, USA",grapefruit,0.02
"Bordeaux-style White Blend, White Blend, Entre-Deux-Mers, Bordeaux",mineral,0.01
"Riesling, Willamette Valley, Oregon, USA",lime,0.01
"Red Blends, Red Blends, Catalunya, Northeast Spain, Spain",raspberry,0.02
"Chardonnay, Navarra, Northeast Spain, Spain",tropical_fruit,0.02
"Bordeaux-style Red Blend, Graves, Bordeaux, France",mint,0.01
"Sauvignon Blanc, Alto Adige, Northeast Italy, Italy",herb,0.01
"Chardonnay, Cote de Nuits, Burgundy, France",tropical_fruit,0.02
"Merlot, Maipo Valley, Central Valley, Chile",wood,0.01
"Merlot, Curico Valley, Central Valley, Chile",cherry,0.02
"Fiano, Italian White, Campania, Southern Italy, Italy",white_flower,0.02
"Red Blends, Red Blends, Aragon, Northeast Spain, Spain",burnt,0.02
"Chardonnay, Chablis, Burgundy, France",plum,0.01
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",herb,0.01
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",pineapple,0.02
"Dolcetto, Italian Red, Piedmont, Northwest Italy, Italy",smoke,0.01
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",lactic,0.01
"Red Blends, Red Blends, Inland Valleys, California, USA",cocoa,0.01
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",apricot,0.02
"Pinot Noir, Victoria, Australia",funky,0.01
"Cabernet Sauvignon, Sierra Foothills, California, USA",currant,0.01
"Riesling, Southern Oregon, Oregon, USA",citrus_pith,0.02
"Tinto del Pais, Tempranillo, Castilla and Leon, Northwest Spain, Spain",spice,0.02
"Chardonnay, Gisborne, New Zealand",melon,0.03
"Cabernet Sauvignon, Coastal Region, South Africa",juicy,0.02
"Syrah, Maipo Valley, Central Valley, Chile",chocolate,0.03
"Zinfandel, San Francisco Bay, Central Coast, California, USA",leather,0.01
"Pinot Noir, Wairarapa, New Zealand",mushroom,0.01
"Merlot, Galilee, Israel",berry,0.02
"Grenache, La Rioja, Northeast Spain, Spain",lemon,0.03
"Merlot, Napa Valley, North Coast, California, USA",blackberry,0.01
"Riesling, Niederosterreich, Austria",lactic,0.02
"Riesling, Alsace, France",juicy,0.01
"Cabernet Sauvignon, Salta, Argentina",bubble_gum,0.02
"Bordeaux-style Red Blend, Long Island, New York, USA",menthol,0.01
"Syrah, Aconcagua Valley, Aconcagua Region, Chile",new_oak,0.02
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",coffee,0.02
"Pinot Grigio, Mendocino, North Coast, California, USA",orange_blossom,0.02
"Cabernet Sauvignon, Galilee, Israel",wild_berry,0.01
"Red Blends, Red Blends, Sicily, Southern Italy, Italy",perfumed,0.01
"Zinfandel, Inland Valleys, California, USA",boysenberry,0.01
"Grenache, Sierra Foothills, California, USA",plum,0.02
"Chardonnay, Victoria, Australia",tropical_fruit,0.02
"White Blend, Southwest France, France",lychee,0.01
"Syrah, South Coast, California, USA",ripe,0.02
"Aglianico, Italian Red, Campania, Southern Italy, Italy",forest_floor,0.02
"Sauvignon Blanc, Inland Valleys, California, USA",chalk,0.03
"Petite Sirah, Mendocino, North Coast, California, USA",jam,0.02
"Syrah, Victoria, Australia",ripe,0.01
"Chardonnay, South Australia, Australia",lemon_curd,0.01
"Merlot, Coastal Region, South Africa",vanilla,0.02
"Sauvignon Blanc, Mendoza, Argentina",celery,0.02
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",medicinal,0.01
"Red Blends, Red Blends, Southern Oregon, Oregon, USA",raspberry,0.01
"Chardonnay, Auckland, New Zealand",pear,0.02
"Sangiovese, Tuscany, Central Italy, Italy",scorched_earth,0.01
"Red Blends, Red Blends, Napa Valley, North Coast, California, USA",wood,0.02
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",stone,0.01
"Malbec, Patagonia, Argentina",spice,0.01
"Pinot Noir, San Antonio, Aconcagua Region, Chile",fruit,0.01
"Tinta de Toro, Tempranillo, Castilla and Leon, Northwest Spain, Spain",savory,0.01
"Red Blends, Red Blends, Piedmont, Northwest Italy, Italy",oak-driven,0.02
"Pinot Noir, Canterbury and Waipara, New Zealand",cedar,0.02
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",spice,0.02
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",smoke,0.02
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",olive,0.02
"Red Blends, Red Blends, Puglia, Southern Italy, Italy",graphite,0.02
